Cited_App_nbr,in_degree,prio_year_cited,Shannon_Entropy
EP19820301170,1,1981,-0.0
EP19850107042,1,1984,2.3025850929940455
EP19820303507,3,1981,1.3862943611198906
EP19850303461,1,1984,0.6931471805599453
EP19840307033,2,1983,-0.0
EP19830303244,1,1982,2.1972245773362196
EP19830301856,1,1982,2.70805020110221
EP19800301598,1,1979,0.6931471805599453
EP19850106985,2,1984,2.1972245773362196
EP19850107547,1,1984,1.945910149055313
EP19850108609,1,1984,2.564949357461537
EP19840113014,3,1983,2.1972245773362196
EP19850109984,1,1984,1.3862943611198906
EP19820201367,3,1981,1.6094379124341005
EP19840302566,5,1983,2.1972245773362196
EP19800104300,1,1979,0.6931471805599453
EP19850109350,3,1984,2.3978952727983707
EP19850305930,3,1984,2.70805020110221
EP19850306144,2,1984,2.890371757896165
EP19830303997,1,1982,2.639057329615258
EP19850111067,5,1984,1.7917594692280547
EP19850307450,4,1984,2.9444389791664403
EP19810304835,2,1980,1.3862943611198906
EP19850111354,6,1984,2.0794415416798357
EP19840109539,6,1983,2.484906649788001
EP19850307627,1,1984,1.6094379124341005
EP19840307994,5,1983,-0.0
EP19820303660,1,1981,1.0986122886681096
EP19840303638,1,1983,0.6931471805599453
EP19840112462,1,1983,2.3025850929940455
EP19840306256,1,1983,1.3862943611198906
EP19850307928,2,1984,2.3025850929940455
EP19850307357,1,1984,-0.0
EP19810305551,3,1980,0.6931471805599453
EP19850308516,1,1984,1.3862943611198906
EP19840308459,2,1983,1.0986122886681096
EP19840107989,2,1983,1.0986122886681096
EP19840303421,2,1983,-0.0
EP19820303291,1,1981,-0.0
EP19840308925,3,1983,2.70805020110221
EP19850301602,1,1984,1.0986122886681096
EP19860300059,1,1985,3.295836866004329
EP19830305782,2,1982,3.295836866004329
EP19810302809,1,1980,-0.0
EP19830306633,2,1982,-0.0
EP19860300795,1,1985,1.3862943611198906
EP19830307708,5,1982,1.7917594692280547
EP19850402558,1,1984,1.6094379124341005
EP19810302257,2,1980,1.0986122886681096
EP19830306150,1,1982,2.1972245773362196
EP19860302964,13,1985,3.1780538303479453
EP19860306221,6,1985,1.6094379124341005
EP19860301684,10,1985,2.890371757896165
EP19860303039,12,1985,1.945910149055313
EP19840308981,3,1983,1.945910149055313
EP19840307659,7,1983,1.3862943611198906
EP19860303557,3,1985,-0.0
EP19840306810,2,1983,1.0986122886681096
EP19820305639,2,1981,0.6931471805599453
EP19800304430,3,1979,1.0986122886681096
EP19830307531,1,1982,1.7917594692280547
EP19850101565,3,1984,1.6094379124341005
EP19840113586,1,1983,-0.0
EP19860303827,1,1985,2.3978952727983707
EP19850109351,4,1984,2.484906649788001
EP19860305071,1,1985,2.3978952727983707
EP19840308359,2,1983,-0.0
EP19850300196,3,1984,1.7917594692280547
EP19860305585,1,1985,1.945910149055313
EP19850110076,2,1984,2.3978952727983707
EP19860306064,2,1985,1.7917594692280547
EP19850400219,1,1984,1.6094379124341005
EP19850302896,1,1984,-0.0
EP19860307359,1,1985,-0.0
EP19850302134,1,1984,-0.0
EP19860307976,1,1985,2.890371757896165
EP19850302708,4,1984,-0.0
EP19860304733,2,1985,2.0794415416798357
EP19850115575,1,1978,1.6094379124341005
EP19820109116,1,1978,1.6094379124341005
